ID	Year	Source	MST-14	MST-57	MST-65	MST-76	MST-83
SRR10012194	2019	Human	singleton_60	cluster_5	cluster_3	cluster_2	cluster_1
SRR10049446	2019	Human	cluster_3	cluster_5	cluster_3	cluster_2	cluster_1
SRR10078188	2019	Human	cluster_3	cluster_5	cluster_3	cluster_2	cluster_1
SRR10095837	2019	Human	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR10136214	2019	Human	singleton_134	cluster_5	cluster_3	cluster_2	cluster_1
SRR10154426	2019	Human	singleton_130	cluster_5	cluster_3	cluster_2	cluster_1
SRR10155186	2019	Swine	singleton_148	cluster_5	cluster_3	cluster_2	cluster_1
SRR10164746	2019	Swine	cluster_44	cluster_5	cluster_3	cluster_2	cluster_1
SRR10165164	2019	Swine	cluster_68	cluster_5	cluster_3	cluster_2	cluster_1
SRR10187038	2019	Swine	singleton_66	cluster_5	cluster_3	cluster_2	cluster_1
SRR10281885	2019	Human	cluster_69	cluster_5	cluster_3	cluster_2	cluster_1
SRR10309900	2019	Human	cluster_3	cluster_5	cluster_3	cluster_2	cluster_1
SRR10429180	2019	Human	singleton_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR10482232	2019	Human	singleton_143	cluster_5	cluster_3	cluster_2	cluster_1
SRR10505904	2019	Human	singleton_41	cluster_5	cluster_3	cluster_2	cluster_1
SRR10546641	2019	Swine	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR10611981	2019	Swine	cluster_22	cluster_5	cluster_3	cluster_2	cluster_1
SRR10612318	2019	Swine	singleton_190	cluster_5	cluster_3	cluster_2	cluster_1
SRR10614287	2019	Swine	cluster_16	cluster_5	cluster_3	cluster_2	cluster_1
SRR10673623	2019	Swine	singleton_159	cluster_5	cluster_3	cluster_2	cluster_1
SRR10708462	2019	Swine	cluster_24	cluster_5	cluster_3	cluster_2	cluster_1
SRR10725809	2019	Swine	singleton_10	cluster_5	cluster_3	cluster_2	cluster_1
SRR10764376	2019	Human	singleton_73	cluster_5	cluster_3	cluster_2	cluster_1
SRR10810393	2019	Swine	singleton_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR10815122	2019	Human	singleton_53	cluster_5	cluster_3	cluster_2	cluster_1
SRR10815613	2019	Swine	cluster_17	cluster_5	cluster_3	cluster_2	cluster_1
SRR10815627	2019	Swine	cluster_30	cluster_5	cluster_3	cluster_2	cluster_1
SRR10816342	2019	Human	cluster_73	cluster_5	cluster_3	cluster_2	cluster_1
SRR10853315	2019	Swine	singleton_142	cluster_5	cluster_3	cluster_2	cluster_1
SRR10857074	2019	Human	cluster_18	cluster_5	cluster_3	cluster_2	cluster_1
SRR10873097	2019	Swine	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR10881593	2019	Human	cluster_21	cluster_5	cluster_3	cluster_2	cluster_1
SRR10898363	2019	Human	cluster_7	cluster_5	cluster_3	cluster_2	cluster_1
SRR10905435	2019	Swine	singleton_180	cluster_5	cluster_3	cluster_2	cluster_1
SRR10905438	2019	Swine	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR10970404	2019	Human	singleton_25	cluster_5	cluster_3	cluster_2	cluster_1
SRR10981305	2020	Human	singleton_171	cluster_5	cluster_3	cluster_2	cluster_1
SRR10981481	2020	Human	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR11008923	2020	Swine	cluster_24	cluster_5	cluster_3	cluster_2	cluster_1
SRR11015496	2020	Swine	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR11058600	2020	Bovine	singleton_5	cluster_2	cluster_1	cluster_2	cluster_1
SRR11089980	2020	Human	singleton_1	cluster_5	cluster_3	cluster_2	cluster_1
SRR11214803	2020	Swine	cluster_18	cluster_5	cluster_3	cluster_2	cluster_1
SRR11232198	2020	Human	singleton_42	singleton_1	singleton_1	cluster_2	cluster_1
SRR11305785	2020	Human	singleton_126	cluster_5	cluster_3	cluster_2	cluster_1
SRR11313799	2020	Human	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR11394673	2020	Chicken	singleton_17	cluster_5	cluster_3	cluster_2	cluster_1
SRR11435272	2020	Swine	cluster_23	cluster_5	cluster_3	cluster_2	cluster_1
SRR11453031	2020	Swine	singleton_22	cluster_5	cluster_3	cluster_2	cluster_1
SRR11486713	2020	Chicken	singleton_175	cluster_5	cluster_3	cluster_2	cluster_1
SRR11487964	2020	Human	cluster_7	cluster_5	cluster_3	cluster_2	cluster_1
SRR11557922	2020	Turkey	cluster_66	cluster_5	cluster_3	cluster_2	cluster_1
SRR11576149	2015	Human	singleton_158	cluster_5	cluster_3	cluster_2	cluster_1
SRR11654228	2020	Swine	singleton_164	cluster_5	cluster_3	cluster_2	cluster_1
SRR11714373	2020	Swine	cluster_28	cluster_5	cluster_3	cluster_2	cluster_1
SRR11744066	2020	Human	singleton_82	cluster_5	cluster_3	cluster_2	cluster_1
SRR11799634	2020	Swine	cluster_23	cluster_5	cluster_3	cluster_2	cluster_1
SRR11802391	2020	Swine	singleton_178	cluster_5	cluster_3	cluster_2	cluster_1
SRR11802399	2020	Swine	cluster_23	cluster_5	cluster_3	cluster_2	cluster_1
SRR11833209	2020	Swine	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1
SRR11892875	2020	Swine	singleton_139	cluster_5	cluster_3	cluster_2	cluster_1
SRR11950166	2020	Swine	singleton_129	cluster_5	cluster_3	cluster_2	cluster_1
SRR11966543	2020	Swine	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12004628	2020	Swine	cluster_52	cluster_5	cluster_3	cluster_2	cluster_1
SRR12118785	2020	Human	cluster_28	cluster_5	cluster_3	cluster_2	cluster_1
SRR12136525	2020	Bovine	cluster_37	cluster_5	cluster_3	cluster_2	cluster_1
SRR12215568	2020	Swine	singleton_83	cluster_5	cluster_3	cluster_2	cluster_1
SRR12261688	2020	Human	singleton_97	cluster_5	cluster_3	cluster_2	cluster_1
SRR12336727	2020	Human	cluster_37	cluster_5	cluster_3	cluster_2	cluster_1
SRR12343733	2020	Human	cluster_51	cluster_5	cluster_3	cluster_2	cluster_1
SRR12362586	2020	Swine	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12377487	2020	Swine	singleton_54	cluster_5	cluster_3	cluster_2	cluster_1
SRR12403558	2020	Swine	cluster_19	cluster_5	cluster_3	cluster_2	cluster_1
SRR12455729	2020	Swine	cluster_73	cluster_5	cluster_3	cluster_2	cluster_1
SRR12487631	2020	Swine	cluster_68	cluster_5	cluster_3	cluster_2	cluster_1
SRR12582641	2020	Swine	cluster_24	cluster_5	cluster_3	cluster_2	cluster_1
SRR12583031	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12594923	2020	Swine	cluster_49	cluster_5	cluster_3	cluster_2	cluster_1
SRR12625469	2020	Swine	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR12625484	2020	Swine	singleton_69	cluster_5	cluster_3	cluster_2	cluster_1
SRR12634159	2020	Human	singleton_121	cluster_5	cluster_3	cluster_2	cluster_1
SRR12664238	2020	Human	cluster_73	cluster_5	cluster_3	cluster_2	cluster_1
SRR12683259	2020	Swine	singleton_137	cluster_5	cluster_3	cluster_2	cluster_1
SRR12749486	2020	Swine	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12766664	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12768101	2020	Swine	singleton_179	cluster_5	cluster_3	cluster_2	cluster_1
SRR12806951	2020	Swine	singleton_86	cluster_5	cluster_3	cluster_2	cluster_1
SRR12852925	2020	Human	cluster_52	cluster_5	cluster_3	cluster_2	cluster_1
SRR12887493	2020	Swine	cluster_68	cluster_5	cluster_3	cluster_2	cluster_1
SRR12908397	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR12908406	2020	Human	singleton_33	cluster_5	cluster_3	cluster_2	cluster_1
SRR12931077	2020	Human	cluster_40	cluster_5	cluster_3	cluster_2	cluster_1
SRR12937822	2020	Swine	cluster_18	cluster_5	cluster_3	cluster_2	cluster_1
SRR12956958	2020	Swine	cluster_23	cluster_5	cluster_3	cluster_2	cluster_1
SRR13066108	2020	Human	cluster_69	cluster_5	cluster_3	cluster_2	cluster_1
SRR13072618	2020	Human	cluster_71	cluster_5	cluster_3	cluster_2	cluster_1
SRR13094596	2020	Swine	cluster_61	cluster_5	cluster_3	cluster_2	cluster_1
SRR13125054	Unknown	Unspecified Animal	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR13166751	2020	Swine	cluster_39	cluster_5	cluster_3	cluster_2	cluster_1
SRR13187436	2020	Swine	cluster_6	cluster_3	cluster_2	cluster_1	cluster_1
SRR13198883	2020	Swine	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR13268206	2020	Human	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR13271402	2020	Swine	cluster_58	cluster_5	cluster_3	cluster_2	cluster_1
SRR13290000	2020	Human	cluster_6	cluster_3	cluster_2	cluster_1	cluster_1
SRR13290837	2020	Human	cluster_73	cluster_5	cluster_3	cluster_2	cluster_1
SRR13320613	2020	Human	cluster_71	cluster_5	cluster_3	cluster_2	cluster_1
SRR13333437	2020	Chicken	cluster_58	cluster_5	cluster_3	cluster_2	cluster_1
SRR13337728	2020	Swine	cluster_64	cluster_5	cluster_3	cluster_2	cluster_1
SRR13350042	2020	Swine	singleton_106	cluster_5	cluster_3	cluster_2	cluster_1
SRR13377895	2020	Human	cluster_63	cluster_5	cluster_3	cluster_2	cluster_1
SRR13498614	2021	Swine	singleton_132	cluster_5	cluster_3	cluster_2	cluster_1
SRR13530470	2020	Swine	singleton_78	cluster_5	cluster_3	cluster_2	cluster_1
SRR13572483	2021	Swine	singleton_64	cluster_5	cluster_3	cluster_2	cluster_1
SRR13685951	2021	Turkey	cluster_8	cluster_5	cluster_3	cluster_2	cluster_1
SRR13725507	2021	Chicken	cluster_51	cluster_5	cluster_3	cluster_2	cluster_1
SRR13725516	2021	Swine	singleton_166	cluster_5	cluster_3	cluster_2	cluster_1
SRR13943447	2021	Swine	cluster_69	cluster_5	cluster_3	cluster_2	cluster_1
SRR13955558	2021	Human	cluster_41	cluster_5	cluster_3	cluster_2	cluster_1
SRR13998252	2021	Swine	singleton_177	cluster_5	cluster_3	cluster_2	cluster_1
SRR13998260	2021	Swine	singleton_93	cluster_5	cluster_3	cluster_2	cluster_1
SRR14050540	2021	Swine	cluster_51	cluster_5	cluster_3	cluster_2	cluster_1
SRR14055062	2021	Swine	cluster_18	cluster_5	cluster_3	cluster_2	cluster_1
SRR14064571	2021	Human	cluster_41	cluster_5	cluster_3	cluster_2	cluster_1
SRR14094631	2021	Swine	singleton_108	cluster_5	cluster_3	cluster_2	cluster_1
SRR14097604	2021	Chicken	cluster_45	cluster_5	cluster_3	cluster_2	cluster_1
SRR14097928	2021	Bovine	cluster_44	cluster_5	cluster_3	cluster_2	cluster_1
SRR14145900	2021	Swine	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR14255426	2021	Human	cluster_1	cluster_1	cluster_3	cluster_2	cluster_1
SRR14325786	2021	Human	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR14344205	2021	Swine	cluster_50	cluster_5	cluster_3	cluster_2	cluster_1
SRR14460200	2021	Human	singleton_185	singleton_3	singleton_3	singleton_2	singleton_2
SRR14482297	2021	Human	cluster_44	cluster_5	cluster_3	cluster_2	cluster_1
SRR14517925	2021	Swine	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR14596542	2021	Swine	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR14607756	2021	Swine	cluster_57	cluster_5	cluster_3	cluster_2	cluster_1
SRR14682997	2021	Swine	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR14718122	2021	Swine	cluster_61	cluster_5	cluster_3	cluster_2	cluster_1
SRR14749058	2021	Human	cluster_34	cluster_5	cluster_3	cluster_2	cluster_1
SRR14857229	2021	Swine	singleton_119	cluster_1	cluster_3	cluster_2	cluster_1
SRR14978732	2021	Swine	singleton_140	cluster_5	cluster_3	cluster_2	cluster_1
SRR15027047	2021	Human	singleton_103	cluster_5	cluster_3	cluster_2	cluster_1
SRR15065513	2021	Swine	cluster_44	cluster_5	cluster_3	cluster_2	cluster_1
SRR15178531	2021	Human	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR15194451	2021	Human	cluster_66	cluster_5	cluster_3	cluster_2	cluster_1
SRR15358167	2021	Human	singleton_35	cluster_5	cluster_3	cluster_2	cluster_1
SRR15483437	2021	Swine	singleton_115	cluster_5	cluster_3	cluster_2	cluster_1
SRR15499598	2021	Human	singleton_11	cluster_5	cluster_3	cluster_2	cluster_1
SRR15657006	2021	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR15657423	2021	Human	cluster_38	cluster_5	cluster_3	cluster_2	cluster_1
SRR15658221	2021	Bovine	cluster_9	cluster_5	cluster_3	cluster_2	cluster_1
SRR15658272	2021	Bovine	cluster_9	cluster_5	cluster_3	cluster_2	cluster_1
SRR15680217	2021	Human	cluster_38	cluster_5	cluster_3	cluster_2	cluster_1
SRR15680282	2021	Human	cluster_38	cluster_5	cluster_3	cluster_2	cluster_1
SRR15712500	2021	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR15845642	2021	Swine	singleton_62	cluster_5	cluster_3	cluster_2	cluster_1
SRR15871628	2021	Human	singleton_37	cluster_5	cluster_3	cluster_2	cluster_1
SRR15880140	2021	Swine	cluster_33	cluster_5	cluster_3	cluster_2	cluster_1
SRR15972289	2021	Bovine	singleton_20	cluster_5	cluster_3	cluster_2	cluster_1
SRR16038552	2021	Swine	singleton_19	cluster_5	cluster_3	cluster_2	cluster_1
SRR16080602	2021	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR16156308	2021	Swine	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR16248883	2021	Human	cluster_20	cluster_5	cluster_3	cluster_2	cluster_1
SRR16248885	2021	Human	cluster_20	cluster_5	cluster_3	cluster_2	cluster_1
SRR16300021	2021	Swine	singleton_181	cluster_5	cluster_3	cluster_2	cluster_1
SRR16313039	2021	Human	singleton_165	cluster_5	cluster_3	cluster_2	cluster_1
SRR16505435	2021	Human	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR16563459	2021	Swine	singleton_21	cluster_5	cluster_3	cluster_2	cluster_1
SRR16598271	2021	Human	singleton_89	cluster_5	cluster_3	cluster_2	cluster_1
SRR16598277	2021	Swine	singleton_34	cluster_5	cluster_3	cluster_2	cluster_1
SRR16632376	2021	Swine	singleton_50	cluster_5	cluster_3	cluster_2	cluster_1
SRR16706250	2021	Human	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR16821318	2021	Human	cluster_46	cluster_5	cluster_3	cluster_2	cluster_1
SRR16882101	2021	Swine	cluster_42	cluster_5	cluster_3	cluster_2	cluster_1
SRR16890838	2021	Swine	singleton_75	cluster_5	cluster_3	cluster_2	cluster_1
SRR16983634	2021	Swine	cluster_69	cluster_5	cluster_3	cluster_2	cluster_1
SRR16994554	2021	Swine	singleton_56	cluster_5	cluster_3	cluster_2	cluster_1
SRR16996931	2021	Swine	singleton_189	cluster_5	cluster_3	cluster_2	cluster_1
SRR17184570	2021	Human	cluster_6	cluster_3	cluster_2	cluster_1	cluster_1
SRR17248885	2021	Swine	singleton_91	cluster_5	cluster_3	cluster_2	cluster_1
SRR17279320	2021	Swine	cluster_6	cluster_3	cluster_2	cluster_1	cluster_1
SRR17334318	2021	Human	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR17349074	2021	Swine	singleton_105	cluster_5	cluster_3	cluster_2	cluster_1
SRR17377293	2021	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR17487853	2021	Swine	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR17534383	2021	Human	cluster_17	cluster_5	cluster_3	cluster_2	cluster_1
SRR17534420	2021	Chicken	singleton_188	cluster_5	cluster_3	cluster_2	cluster_1
SRR17836720	2022	Swine	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR17836728	2022	Swine	cluster_64	cluster_5	cluster_3	cluster_2	cluster_1
SRR17853864	2022	Swine	singleton_136	cluster_5	cluster_3	cluster_2	cluster_1
SRR17871316	2022	Swine	cluster_1	cluster_1	cluster_3	cluster_2	cluster_1
SRR18100145	2022	Swine	cluster_29	cluster_5	cluster_3	cluster_2	cluster_1
SRR18100148	2022	Swine	cluster_45	cluster_5	cluster_3	cluster_2	cluster_1
SRR18100472	2022	Turkey	cluster_66	cluster_5	cluster_3	cluster_2	cluster_1
SRR18115776	2022	Turkey	cluster_45	cluster_5	cluster_3	cluster_2	cluster_1
SRR18115953	2022	Swine	cluster_45	cluster_5	cluster_3	cluster_2	cluster_1
SRR18256796	2022	Human	cluster_58	cluster_5	cluster_3	cluster_2	cluster_1
SRR18297021	2022	Swine	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR18315284	2022	Swine	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR18319681	2022	Swine	singleton_85	cluster_5	cluster_3	cluster_2	cluster_1
SRR18498214	2022	Swine	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR18506395	2022	Human	singleton_95	cluster_5	cluster_3	cluster_2	cluster_1
SRR18745783	2022	Swine	cluster_49	cluster_5	cluster_3	cluster_2	cluster_1
SRR18750820	2022	Swine	singleton_176	cluster_5	cluster_3	cluster_2	cluster_1
SRR18909289	2022	Swine	singleton_46	cluster_5	cluster_3	cluster_2	cluster_1
SRR18914195	2022	Human	cluster_43	cluster_5	cluster_3	cluster_2	cluster_1
SRR19019200	2022	Swine	singleton_51	cluster_5	cluster_3	cluster_2	cluster_1
SRR19130546	2022	Swine	singleton_4	cluster_3	cluster_2	cluster_1	cluster_1
SRR19358571	2022	Swine	singleton_80	cluster_5	cluster_3	cluster_2	cluster_1
SRR19363170	2022	Swine	singleton_57	cluster_5	cluster_3	cluster_2	cluster_1
SRR19403545	2022	Human	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR19539305	2022	Human	cluster_5	cluster_5	cluster_3	cluster_2	cluster_1
SRR19546361	2022	Human	cluster_43	cluster_5	cluster_3	cluster_2	cluster_1
SRR19581615	2022	Human	cluster_34	cluster_5	cluster_3	cluster_2	cluster_1
SRR19638231	2022	Swine	cluster_39	cluster_5	cluster_3	cluster_2	cluster_1
SRR19638805	2022	Human	singleton_186	cluster_5	cluster_3	cluster_2	cluster_1
SRR19730697	2022	Human	singleton_29	cluster_5	cluster_3	cluster_2	cluster_1
SRR19765040	2022	Swine	singleton_133	cluster_5	cluster_3	cluster_2	cluster_1
SRR19846499	2022	Human	cluster_49	cluster_5	cluster_3	cluster_2	cluster_1
SRR19882970	2022	Human	singleton_61	cluster_5	cluster_3	cluster_2	cluster_1
SRR19908632	2022	Human	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR19995726	2022	Human	cluster_63	cluster_5	cluster_3	cluster_2	cluster_1
SRR20020850	2022	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_1
SRR20028561	2022	Swine	cluster_67	cluster_5	cluster_3	cluster_2	cluster_1
SRR20727980	2022	Swine	cluster_52	cluster_5	cluster_3	cluster_2	cluster_1
SRR20834526	2022	Swine	singleton_59	cluster_5	cluster_3	cluster_2	cluster_1
SRR20959895	2022	Human	cluster_72	cluster_5	cluster_3	cluster_2	cluster_1
SRR21007678	2022	Turkey	cluster_45	cluster_5	cluster_3	cluster_2	cluster_1
SRR21011019	2022	Swine	cluster_1	cluster_1	cluster_3	cluster_2	cluster_1
SRR21176995	2022	Human	singleton_12	cluster_3	cluster_2	cluster_1	cluster_1
SRR21203741	2022	Human	cluster_47	cluster_5	cluster_3	cluster_2	cluster_1
SRR21227418	2022	Human	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR21303782	2022	Swine	cluster_34	cluster_5	cluster_3	cluster_2	cluster_1
SRR21354800	2022	Human	cluster_29	cluster_5	cluster_3	cluster_2	cluster_1
SRR21559877	2022	Swine	cluster_67	cluster_5	cluster_3	cluster_2	cluster_1
SRR21728123	2022	Human	cluster_64	cluster_5	cluster_3	cluster_2	cluster_1
SRR21854225	2022	Human	cluster_63	cluster_5	cluster_3	cluster_2	cluster_1
SRR21908097	2022	Human	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR22022216	2022	Swine	singleton_183	cluster_5	cluster_3	cluster_2	cluster_1
SRR22132535	2022	Human	cluster_14	cluster_5	cluster_3	cluster_2	cluster_1
SRR22216030	2022	Swine	cluster_52	cluster_5	cluster_3	cluster_2	cluster_1
SRR22275897	2022	Swine	singleton_182	cluster_5	cluster_3	cluster_2	cluster_1
SRR22317963	2022	Swine	singleton_71	cluster_5	cluster_3	cluster_2	cluster_1
SRR22325440	2022	Swine	singleton_152	cluster_5	cluster_3	cluster_2	cluster_1
SRR22398365	2022	Swine	cluster_17	cluster_5	cluster_3	cluster_2	cluster_1
SRR22398409	2022	Swine	singleton_128	cluster_5	cluster_3	cluster_2	cluster_1
SRR22489971	2022	Bovine	cluster_10	cluster_5	cluster_3	cluster_2	cluster_1
SRR22557977	2022	Swine	singleton_55	cluster_5	cluster_3	cluster_2	cluster_1
SRR22667798	2022	Human	cluster_6	cluster_3	cluster_2	cluster_1	cluster_1
SRR22808637	2022	Unspecified Animal	singleton_146	cluster_5	cluster_3	cluster_2	cluster_1
SRR22816606	2022	Human	cluster_14	cluster_5	cluster_3	cluster_2	cluster_1
SRR22881674	2022	Human	singleton_102	cluster_5	cluster_3	cluster_2	cluster_1
SRR22892269	2022	Swine	singleton_48	cluster_5	cluster_3	cluster_2	cluster_1
SRR22966021	2022	Human	cluster_49	cluster_5	cluster_3	cluster_2	cluster_1
SRR23000240	2022	Swine	singleton_16	cluster_5	cluster_3	cluster_2	cluster_1
SRR23000385	2022	Swine	cluster_59	cluster_5	cluster_3	cluster_2	cluster_1
SRR23025662	2022	Swine	cluster_61	cluster_5	cluster_3	cluster_2	cluster_1
SRR23101683	2023	Human	cluster_63	cluster_5	cluster_3	cluster_2	cluster_1
SRR23240597	2023	Human	singleton_49	cluster_5	cluster_3	cluster_2	cluster_1
SRR23271567	2023	Swine	singleton_100	cluster_5	cluster_3	cluster_2	cluster_1
SRR23277643	2023	Human	cluster_74	cluster_5	cluster_3	cluster_2	cluster_1
SRR23291478	2023	Swine	cluster_13	cluster_5	cluster_3	cluster_2	cluster_1
SRR23310601	2023	Turkey	singleton_147	cluster_5	cluster_3	cluster_2	cluster_1
SRR23310609	2023	Swine	cluster_58	cluster_5	cluster_3	cluster_2	cluster_1
