ID	Year	Source	MST-14	MST-69	MST-100	MST-109
SRR10009652	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10010399	2019	Human	singleton_34	cluster_1	cluster_1	cluster_1
SRR10037191	2019	Human	singleton_52	cluster_3	cluster_1	cluster_1
SRR10043663	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR10108699	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10113017	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10113046	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10123354	Unknown	Human	singleton_21	cluster_3	cluster_1	cluster_1
SRR10135945	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10154420	2019	Human	cluster_9	cluster_3	cluster_1	cluster_1
SRR10164136	2019	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR10174327	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10202207	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10207457	2019	Human	cluster_2	cluster_3	cluster_1	cluster_1
SRR10226366	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10239448	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10267828	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10303379	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR10341896	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10489378	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10541543	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10689948	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR10707926	2019	Human	singleton_93	cluster_3	cluster_1	cluster_1
SRR10718110	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10776683	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR10842922	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR10875905	2019	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR10918769	2019	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR10951146	2019	Human	cluster_24	cluster_3	cluster_1	cluster_1
SRR10953144	2019	Human	singleton_53	cluster_3	cluster_1	cluster_1
SRR10958379	2019	Human	singleton_2	cluster_3	cluster_1	cluster_1
SRR11024551	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR11024945	2020	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR11027302	2020	Human	singleton_12	cluster_3	cluster_1	cluster_1
SRR11121815	2020	Human	cluster_15	cluster_3	cluster_1	cluster_1
SRR11165084	2020	Human	singleton_45	cluster_3	cluster_1	cluster_1
SRR11195960	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR11486717	2020	Swine	cluster_23	cluster_3	cluster_1	cluster_1
SRR11491063	2020	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR11557928	2020	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR11584883	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR11591889	2020	Human	singleton_30	cluster_3	cluster_1	cluster_1
SRR11615691	Unknown	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR11662091	2020	Human	cluster_9	cluster_3	cluster_1	cluster_1
SRR12340908	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR12471578	2020	Human	singleton_84	cluster_3	cluster_1	cluster_1
SRR12515142	2020	Human	singleton_10	cluster_3	cluster_1	cluster_1
SRR12574843	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR12939101	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR12993388	2020	Human	cluster_9	cluster_3	cluster_1	cluster_1
SRR13017803	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR13040413	2020	Human	cluster_14	cluster_3	cluster_1	cluster_1
SRR13068442	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR13068475	2020	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR13088936	2020	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR13132122	2020	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR13232983	2020	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR13245330	2020	Human	singleton_35	cluster_3	cluster_1	cluster_1
SRR13603909	2020	Human	singleton_87	cluster_3	cluster_1	cluster_1
SRR13685957	2021	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR13706042	2019	Human	singleton_57	cluster_3	cluster_1	cluster_1
SRR13723900	2020	Human	singleton_63	cluster_3	cluster_1	cluster_1
SRR13770933	2021	Human	cluster_5	cluster_3	cluster_1	cluster_1
SRR14134760	2021	Human	cluster_21	cluster_3	cluster_1	cluster_1
SRR14276926	2021	Human	singleton_75	cluster_3	cluster_1	cluster_1
SRR14436744	2021	Human	cluster_10	cluster_3	cluster_1	cluster_1
SRR14833325	2021	Human	cluster_17	cluster_3	cluster_1	cluster_1
SRR14934344	2021	Human	singleton_43	cluster_3	cluster_1	cluster_1
SRR15055707	2021	Human	cluster_14	cluster_3	cluster_1	cluster_1
SRR15061165	2021	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR15366460	2021	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR15444031	2021	Turkey	singleton_59	cluster_3	cluster_1	cluster_1
SRR15522090	2021	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR15522091	2021	Chicken	cluster_23	cluster_3	cluster_1	cluster_1
SRR15565610	2021	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR15592982	2021	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR15980036	2021	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR16105736	2021	Human	singleton_32	cluster_1	cluster_1	cluster_1
SRR16596763	2021	Human	cluster_15	cluster_3	cluster_1	cluster_1
SRR16827990	2021	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR16934546	2021	Human	cluster_11	cluster_3	cluster_1	cluster_1
SRR16956557	2021	Human	cluster_11	cluster_3	cluster_1	cluster_1
SRR16956558	2021	Human	cluster_10	cluster_3	cluster_1	cluster_1
SRR17259068	2021	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR17334034	2021	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR18324854	2022	Turkey	singleton_69	cluster_3	cluster_1	cluster_1
SRR18516955	Unknown	Human	singleton_49	cluster_3	cluster_1	cluster_1
SRR18574033	2022	Human	singleton_42	cluster_3	cluster_1	cluster_1
SRR18909265	2022	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR19513010	2022	Human	singleton_28	cluster_3	cluster_1	cluster_1
SRR19786986	2022	Human	singleton_15	cluster_3	cluster_1	cluster_1
SRR19868860	2022	Sheep/Goat	singleton_13	cluster_3	cluster_1	cluster_1
SRR19996384	2022	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR20083121	2022	Human	singleton_6	singleton_1	singleton_1	cluster_1
SRR20283130	2022	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR20307693	2022	Human	singleton_19	singleton_2	singleton_2	singleton_1
SRR20825724	2022	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR21092033	2022	Human	singleton_23	cluster_3	cluster_1	cluster_1
SRR21381243	2022	Human	cluster_14	cluster_3	cluster_1	cluster_1
SRR21449928	2022	Human	singleton_60	cluster_3	cluster_1	cluster_1
SRR21533392	2022	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR21639306	2022	Human	singleton_41	cluster_3	cluster_1	cluster_1
SRR21851431	2022	Bovine	singleton_26	cluster_3	cluster_1	cluster_1
SRR21853798	2022	Human	singleton_29	cluster_3	cluster_1	cluster_1
SRR21883643	2022	Human	singleton_64	cluster_3	cluster_1	cluster_1
SRR21986271	2022	Human	singleton_38	cluster_3	cluster_1	cluster_1
SRR22050648	2022	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR22084720	2022	Turkey	singleton_88	cluster_3	cluster_1	cluster_1
SRR22132537	2022	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR22316389	2022	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR22548952	2022	Human	singleton_33	cluster_1	cluster_1	cluster_1
SRR22881705	2022	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR22881715	2022	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR22884910	2022	Turkey	singleton_83	cluster_3	cluster_1	cluster_1
SRR23242041	2023	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR23335287	2023	Human	cluster_19	cluster_3	cluster_1	cluster_1
SRR23371898	2023	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR23686036	2023	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR23949503	2023	Human	singleton_37	cluster_3	cluster_1	cluster_1
SRR24036028	2023	Human	singleton_50	cluster_3	cluster_1	cluster_1
SRR24123209	2023	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR24236403	2023	Chicken	cluster_6	cluster_3	cluster_1	cluster_1
SRR24299560	2021	Unspecified Animal	cluster_4	cluster_3	cluster_1	cluster_1
SRR24347875	2023	Chicken	cluster_6	cluster_3	cluster_1	cluster_1
SRR24391968	2023	Human	cluster_27	cluster_3	cluster_1	cluster_1
SRR24413082	2023	Human	singleton_14	cluster_3	cluster_1	cluster_1
SRR24490579	2023	Human	singleton_36	cluster_3	cluster_1	cluster_1
SRR24622969	2023	Human	singleton_25	cluster_3	cluster_1	cluster_1
SRR24687770	2023	Human	cluster_17	cluster_3	cluster_1	cluster_1
SRR24705728	2023	Human	cluster_27	cluster_3	cluster_1	cluster_1
SRR24748413	2022	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR24891670	2023	Human	singleton_31	cluster_1	cluster_1	cluster_1
SRR24907231	2023	Turkey	singleton_80	cluster_3	cluster_1	cluster_1
SRR25020879	2023	Human	singleton_48	cluster_3	cluster_1	cluster_1
SRR25034580	2023	Human	singleton_9	cluster_3	cluster_1	cluster_1
SRR25405931	2023	Human	cluster_13	cluster_3	cluster_1	cluster_1
SRR25572335	2023	Human	cluster_2	cluster_3	cluster_1	cluster_1
SRR25599669	2023	Bovine	cluster_7	cluster_3	cluster_1	cluster_1
SRR25618902	2023	Human	cluster_17	cluster_3	cluster_1	cluster_1
SRR25748244	2023	Human	singleton_8	cluster_3	cluster_1	cluster_1
SRR25758549	2023	Human	cluster_12	cluster_3	cluster_1	cluster_1
SRR26032239	2023	Human	cluster_4	cluster_3	cluster_1	cluster_1
SRR26107332	2023	Human	singleton_17	cluster_3	cluster_1	cluster_1
SRR26265589	2023	Human	singleton_3	cluster_3	cluster_1	cluster_1
SRR26292620	2023	Human	cluster_3	cluster_3	cluster_1	cluster_1
SRR26378733	2023	Human	cluster_12	cluster_3	cluster_1	cluster_1
SRR26411278	2023	Human	singleton_46	cluster_3	cluster_1	cluster_1
SRR26421891	2023	Human	cluster_12	cluster_3	cluster_1	cluster_1
SRR26453632	2023	Human	singleton_68	cluster_3	cluster_1	cluster_1
SRR26620700	2023	Human	singleton_24	cluster_3	cluster_1	cluster_1
SRR26683046	2023	Human	singleton_47	cluster_3	cluster_1	cluster_1
SRR26865958	2023	Human	singleton_56	cluster_3	cluster_1	cluster_1
SRR26891735	2023	Human	cluster_2	cluster_3	cluster_1	cluster_1
SRR27035010	2023	Human	cluster_18	cluster_3	cluster_1	cluster_1
SRR27206648	2023	Turkey	cluster_18	cluster_3	cluster_1	cluster_1
SRR27372522	2023	Human	singleton_18	cluster_3	cluster_1	cluster_1
SRR27408361	2023	Unspecified Animal	cluster_16	cluster_2	cluster_1	cluster_1
SRR27408788	2023	Human	singleton_44	cluster_2	cluster_1	cluster_1
SRR27761234	2024	Human	singleton_22	cluster_3	cluster_1	cluster_1
SRR27871407	2024	Human	singleton_76	cluster_3	cluster_1	cluster_1
SRR28005156	2023	Human	cluster_3	cluster_3	cluster_1	cluster_1
SRR28015645	2024	Turkey	cluster_20	cluster_3	cluster_1	cluster_1
SRR28125635	2024	Unspecified Animal	cluster_16	cluster_2	cluster_1	cluster_1
SRR28215473	2024	Turkey	cluster_20	cluster_3	cluster_1	cluster_1
SRR28292995	2024	Human	singleton_54	cluster_3	cluster_1	cluster_1
SRR28318480	2024	Human	cluster_7	cluster_3	cluster_1	cluster_1
SRR28416774	2024	Human	singleton_55	cluster_3	cluster_1	cluster_1
SRR2989168	2015	Turkey	singleton_79	cluster_3	cluster_1	cluster_1
SRR3185116	2016	Human	singleton_77	cluster_3	cluster_1	cluster_1
SRR3470660	2014	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR3470661	2014	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR3470662	2014	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR3470664	2015	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR3470667	2014	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR3470773	2015	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR3532909	2015	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR3642956	2015	Human	singleton_58	cluster_3	cluster_1	cluster_1
SRR5188578	2002	Human	singleton_11	cluster_3	cluster_1	cluster_1
SRR5195295	2016	Human	cluster_25	cluster_3	cluster_1	cluster_1
SRR5195402	2016	Human	singleton_40	cluster_3	cluster_1	cluster_1
SRR5235512	2016	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR5379178	2017	Unspecified Animal	singleton_27	cluster_3	cluster_1	cluster_1
SRR5440541	2016	Human	singleton_94	cluster_3	cluster_1	cluster_1
SRR5486446	2012	Human	singleton_81	cluster_3	cluster_1	cluster_1
SRR5486653	2017	Human	singleton_5	cluster_3	cluster_1	cluster_1
SRR5512653	2017	Human	singleton_39	cluster_3	cluster_1	cluster_1
SRR5620257	2017	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR5660123	2017	Turkey	cluster_25	cluster_3	cluster_1	cluster_1
SRR5742388	2017	Human	singleton_65	cluster_3	cluster_1	cluster_1
SRR5876688	2017	Human	singleton_20	cluster_3	cluster_1	cluster_1
SRR5901627	2017	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR5982078	2017	Turkey	singleton_85	cluster_3	cluster_1	cluster_1
SRR6011706	2017	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR6042795	2017	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR6129366	2017	Human	singleton_98	cluster_3	cluster_1	cluster_1
SRR6131624	2017	Turkey	singleton_74	cluster_3	cluster_1	cluster_1
SRR6203464	2017	Human	singleton_61	cluster_3	cluster_1	cluster_1
SRR6269887	2016	Turkey	cluster_21	cluster_3	cluster_1	cluster_1
SRR6316177	2017	Turkey	cluster_22	cluster_3	cluster_1	cluster_1
SRR6336487	2017	Turkey	cluster_22	cluster_3	cluster_1	cluster_1
SRR6337586	2017	Turkey	singleton_82	cluster_3	cluster_1	cluster_1
SRR6424837	2017	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR6434055	2017	Human	singleton_70	cluster_3	cluster_1	cluster_1
SRR6663485	2017	Human	singleton_97	cluster_3	cluster_1	cluster_1
SRR6691631	2018	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR6765270	2018	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR6818855	2018	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR6879644	2017	Human	singleton_51	cluster_3	cluster_1	cluster_1
SRR6920521	2017	Human	singleton_7	cluster_3	cluster_1	cluster_1
SRR7173075	2018	Bovine	cluster_22	cluster_3	cluster_1	cluster_1
SRR7352899	2018	Human	singleton_89	cluster_3	cluster_1	cluster_1
SRR7501373	2018	Turkey	singleton_90	cluster_3	cluster_1	cluster_1
SRR7518625	2018	Human	singleton_66	cluster_3	cluster_1	cluster_1
SRR7536290	2018	Turkey	singleton_71	cluster_3	cluster_1	cluster_1
SRR7608226	2018	Human	cluster_26	cluster_3	cluster_1	cluster_1
SRR7608248	2018	Human	cluster_15	cluster_3	cluster_1	cluster_1
SRR7727785	2018	Human	singleton_62	cluster_3	cluster_1	cluster_1
SRR7766963	2018	Human	singleton_95	cluster_3	cluster_1	cluster_1
SRR7773303	2018	Human	singleton_67	cluster_3	cluster_1	cluster_1
SRR7773522	2018	Human	singleton_16	cluster_3	cluster_1	cluster_1
SRR7782663	2018	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR7803953	2018	Human	singleton_92	cluster_3	cluster_1	cluster_1
SRR7810055	2018	Turkey	cluster_26	cluster_3	cluster_1	cluster_1
SRR8159460	2018	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR8299162	Unknown	Human	cluster_26	cluster_3	cluster_1	cluster_1
SRR8321680	2018	Human	cluster_1	cluster_3	cluster_1	cluster_1
SRR8321685	2018	Human	cluster_1	cluster_3	cluster_1	cluster_1
SRR8356190	2018	Human	singleton_78	cluster_3	cluster_1	cluster_1
SRR8381437	2018	Turkey	singleton_73	cluster_3	cluster_1	cluster_1
SRR8383789	2018	Human	cluster_26	cluster_3	cluster_1	cluster_1
SRR8383798	2018	Human	cluster_26	cluster_3	cluster_1	cluster_1
SRR8503362	2018	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR8546832	2019	Turkey	cluster_21	cluster_3	cluster_1	cluster_1
SRR8556267	2019	Turkey	cluster_21	cluster_3	cluster_1	cluster_1
SRR8570205	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR8593400	2019	Turkey	singleton_86	cluster_3	cluster_1	cluster_1
SRR8946959	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR8950555	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR8992440	2019	Human	cluster_5	cluster_3	cluster_1	cluster_1
SRR8996066	2019	Turkey	cluster_19	cluster_3	cluster_1	cluster_1
SRR9137269	2019	Human	singleton_96	cluster_3	cluster_1	cluster_1
SRR9268667	2019	Human	cluster_9	cluster_3	cluster_1	cluster_1
SRR9289401	2019	Turkey	cluster_23	cluster_3	cluster_1	cluster_1
SRR9417631	2019	Turkey	singleton_72	cluster_3	cluster_1	cluster_1
SRR9597223	2014	Human	singleton_91	cluster_3	cluster_1	cluster_1
SRR9647869	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR9699517	2019	Turkey	cluster_22	cluster_3	cluster_1	cluster_1
SRR9829567	2019	Turkey	cluster_24	cluster_3	cluster_1	cluster_1
SRR9860695	Unknown	Human	cluster_8	cluster_3	cluster_1	cluster_1
SRR9873380	2019	Human	singleton_4	cluster_3	cluster_1	cluster_1
SRR9902428	2019	Human	singleton_1	cluster_3	cluster_1	cluster_1
SRR9987842	2019	Human	cluster_8	cluster_3	cluster_1	cluster_1
